Code,Area,Year,Measure,Value,
E12000001,North East,Year ending Mar 1996,Median,"42,500",
E12000002,North West,Year ending Mar 1996,Median,"45,000",
E12000003,Yorkshire And The Humber,Year ending Mar 1996,Median,"45,500",
E12000004,East Midlands,Year ending Mar 1996,Median,"45,995",
E12000005,West Midlands,Year ending Mar 1996,Median,"49,500",
E12000006,East of England,Year ending Mar 1996,Median,"57,000",
E12000007,London,Year ending Mar 1996,Median,"73,000",
E12000008,South East,Year ending Mar 1996,Median,"65,250",
E12000009,South West,Year ending Mar 1996,Median,"55,000",
E92000001,England,Year ending Mar 1996,Median,"55,000",
W92000004,Wales,Year ending Mar 1996,Median,"44,000",
K04000001,England And Wales,Year ending Mar 1996,Median,"54,950",
E09000001,City of London,Year ending Jun 1996,Median,"112,375",
E09000002,Barking and Dagenham,Year ending Jun 1996,Median,"50,000",
E09000003,Barnet,Year ending Jun 1996,Median,"85,000",
E09000004,Bexley,Year ending Jun 1996,Median,"63,125",
E09000005,Brent,Year ending Jun 1996,Median,"70,000",
E09000006,Bromley,Year ending Jun 1996,Median,"77,000",
E09000007,Camden,Year ending Jun 1996,Median,"117,000",
E09000008,Croydon,Year ending Jun 1996,Median,"61,000",
E09000009,Ealing,Year ending Jun 1996,Median,"76,000",
E09000010,Enfield,Year ending Jun 1996,Median,"67,000",
E09000011,Greenwich,Year ending Jun 1996,Median,"62,000",
E09000012,Hackney,Year ending Jun 1996,Median,"64,000",
E09000013,Hammersmith and Fulham,Year ending Jun 1996,Median,"115,000",
E09000014,Haringey,Year ending Jun 1996,Median,"68,000",
E09000015,Harrow,Year ending Jun 1996,Median,"80,000",
E09000016,Havering,Year ending Jun 1996,Median,"67,000",
E09000017,Hillingdon,Year ending Jun 1996,Median,"71,000",
E09000018,Hounslow,Year ending Jun 1996,Median,"73,000",
E09000019,Islington,Year ending Jun 1996,Median,"98,500",
E09000020,Kensington and Chelsea,Year ending Jun 1996,Median,"180,000",
E09000021,Kingston upon Thames,Year ending Jun 1996,Median,"84,500",
E09000022,Lambeth,Year ending Jun 1996,Median,"69,500",
E09000023,Lewisham,Year ending Jun 1996,Median,"56,500",
E09000024,Merton,Year ending Jun 1996,Median,"75,000",
E09000025,Newham,Year ending Jun 1996,Median,"47,000",
E09000026,Redbridge,Year ending Jun 1996,Median,"68,500",
E09000027,Richmond upon Thames,Year ending Jun 1996,Median,"111,500",
E09000028,Southwark,Year ending Jun 1996,Median,"71,000",
E09000029,Sutton,Year ending Jun 1996,Median,"66,500",
E09000030,Tower Hamlets,Year ending Jun 1996,Median,"67,000",
E09000031,Waltham Forest,Year ending Jun 1996,Median,"55,000",
E09000032,Wandsworth,Year ending Jun 1996,Median,"89,500",
E09000033,Westminster,Year ending Jun 1996,Median,"128,000",
E12000001,North East,Year ending Jun 1996,Median,"42,950",
E12000002,North West,Year ending Jun 1996,Median,"45,000",
E12000003,Yorkshire And The Humber,Year ending Jun 1996,Median,"45,500",
E12000004,East Midlands,Year ending Jun 1996,Median,"46,000",
E12000005,West Midlands,Year ending Jun 1996,Median,"49,950",
E12000006,East of England,Year ending Jun 1996,Median,"57,000",
E12000007,London,Year ending Jun 1996,Median,"74,000",
E12000008,South East,Year ending Jun 1996,Median,"66,000",
E12000009,South West,Year ending Jun 1996,Median,"55,500",
E92000001,England,Year ending Jun 1996,Median,"55,385",
W92000004,Wales,Year ending Jun 1996,Median,"44,500",
K04000001,England And Wales,Year ending Jun 1996,Median,"55,000",
E09000001,City of London,Year ending Sep 1996,Median,"121,500",
E09000002,Barking and Dagenham,Year ending Sep 1996,Median,"49,995",
E09000003,Barnet,Year ending Sep 1996,Median,"85,500",
E09000004,Bexley,Year ending Sep 1996,Median,"63,500",
E09000005,Brent,Year ending Sep 1996,Median,"71,000",
E09000006,Bromley,Year ending Sep 1996,Median,"79,500",
E09000007,Camden,Year ending Sep 1996,Median,"121,000",
E09000008,Croydon,Year ending Sep 1996,Median,"63,000",
E09000009,Ealing,Year ending Sep 1996,Median,"78,000",
E09000010,Enfield,Year ending Sep 1996,Median,"68,000",
E09000011,Greenwich,Year ending Sep 1996,Median,"64,000",
E09000012,Hackney,Year ending Sep 1996,Median,"65,000",
E09000013,Hammersmith and Fulham,Year ending Sep 1996,Median,"120,000",
E09000014,Haringey,Year ending Sep 1996,Median,"70,000",
E09000015,Harrow,Year ending Sep 1996,Median,"80,500",
E09000016,Havering,Year ending Sep 1996,Median,"67,000",
E09000017,Hillingdon,Year ending Sep 1996,Median,"71,500",
E09000018,Hounslow,Year ending Sep 1996,Median,"72,825",
E09000019,Islington,Year ending Sep 1996,Median,"99,800",
E09000020,Kensington and Chelsea,Year ending Sep 1996,Median,"190,000",
E09000021,Kingston upon Thames,Year ending Sep 1996,Median,"85,248",
E09000022,Lambeth,Year ending Sep 1996,Median,"72,000",
E09000023,Lewisham,Year ending Sep 1996,Median,"57,000",
E09000024,Merton,Year ending Sep 1996,Median,"78,000",
E09000025,Newham,Year ending Sep 1996,Median,"48,000",
E09000026,Redbridge,Year ending Sep 1996,Median,"69,500",
E09000027,Richmond upon Thames,Year ending Sep 1996,Median,"116,500",
E09000028,Southwark,Year ending Sep 1996,Median,"72,000",
E09000029,Sutton,Year ending Sep 1996,Median,"67,500",
E09000030,Tower Hamlets,Year ending Sep 1996,Median,"71,500",
E09000031,Waltham Forest,Year ending Sep 1996,Median,"55,000",
E09000032,Wandsworth,Year ending Sep 1996,Median,"92,500",
E09000033,Westminster,Year ending Sep 1996,Median,"130,000",
E12000001,North East,Year ending Sep 1996,Median,"43,500",
E12000002,North West,Year ending Sep 1996,Median,"45,725",
E12000003,Yorkshire And The Humber,Year ending Sep 1996,Median,"46,000",
E12000004,East Midlands,Year ending Sep 1996,Median,"46,500",
E12000005,West Midlands,Year ending Sep 1996,Median,"50,000",
E12000006,East of England,Year ending Sep 1996,Median,"58,000",
E12000007,London,Year ending Sep 1996,Median,"75,000",
E12000008,South East,Year ending Sep 1996,Median,"67,500",
E12000009,South West,Year ending Sep 1996,Median,"56,500",
E92000001,England,Year ending Sep 1996,Median,"56,500",
W92000004,Wales,Year ending Sep 1996,Median,"45,000",
K04000001,England And Wales,Year ending Sep 1996,Median,"55,995",
E09000001,City of London,Year ending Dec 1996,Median,"124,250",
E09000002,Barking and Dagenham,Year ending Dec 1996,Median,"49,995",
E09000003,Barnet,Year ending Dec 1996,Median,"87,000",
E09000004,Bexley,Year ending Dec 1996,Median,"65,000",
E09000005,Brent,Year ending Dec 1996,Median,"73,000",
E09000006,Bromley,Year ending Dec 1996,Median,"80,000",
E09000007,Camden,Year ending Dec 1996,Median,"127,500",
E09000008,Croydon,Year ending Dec 1996,Median,"64,500",
E09000009,Ealing,Year ending Dec 1996,Median,"80,000",
E09000010,Enfield,Year ending Dec 1996,Median,"69,995",
E09000011,Greenwich,Year ending Dec 1996,Median,"64,000",
E09000012,Hackney,Year ending Dec 1996,Median,"66,000",
E09000013,Hammersmith and Fulham,Year ending Dec 1996,Median,"122,000",
E09000014,Haringey,Year ending Dec 1996,Median,"71,850",
E09000015,Harrow,Year ending Dec 1996,Median,"82,500",
E09000016,Havering,Year ending Dec 1996,Median,"68,500",
E09000017,Hillingdon,Year ending Dec 1996,Median,"72,500",
E09000018,Hounslow,Year ending Dec 1996,Median,"73,000",
E09000019,Islington,Year ending Dec 1996,Median,"102,250",
E09000020,Kensington and Chelsea,Year ending Dec 1996,Median,"195,000",
E09000021,Kingston upon Thames,Year ending Dec 1996,Median,"86,000",
E09000022,Lambeth,Year ending Dec 1996,Median,"75,000",
E09000023,Lewisham,Year ending Dec 1996,Median,"57,500",
E09000024,Merton,Year ending Dec 1996,Median,"80,000",
E09000025,Newham,Year ending Dec 1996,Median,"50,000",
E09000026,Redbridge,Year ending Dec 1996,Median,"71,000",
E09000027,Richmond upon Thames,Year ending Dec 1996,Median,"118,500",
E09000028,Southwark,Year ending Dec 1996,Median,"72,625",
E09000029,Sutton,Year ending Dec 1996,Median,"69,000",
E09000030,Tower Hamlets,Year ending Dec 1996,Median,"77,000",
E09000031,Waltham Forest,Year ending Dec 1996,Median,"56,000",
E09000032,Wandsworth,Year ending Dec 1996,Median,"94,000",
E09000033,Westminster,Year ending Dec 1996,Median,"133,000",
E12000001,North East,Year ending Dec 1996,Median,"44,500",
E12000002,North West,Year ending Dec 1996,Median,"46,250",
E12000003,Yorkshire And The Humber,Year ending Dec 1996,Median,"46,500",
E12000004,East Midlands,Year ending Dec 1996,Median,"47,450",
E12000005,West Midlands,Year ending Dec 1996,Median,"51,000",
E12000006,East of England,Year ending Dec 1996,Median,"58,800",
E12000007,London,Year ending Dec 1996,Median,"77,000",
E12000008,South East,Year ending Dec 1996,Median,"68,500",
E12000009,South West,Year ending Dec 1996,Median,"57,250",
E92000001,England,Year ending Dec 1996,Median,"57,500",
W92000004,Wales,Year ending Dec 1996,Median,"45,000",
K04000001,England And Wales,Year ending Dec 1996,Median,"57,000",
E09000001,City of London,Year ending Mar 1997,Median,"126,503",
E09000002,Barking and Dagenham,Year ending Mar 1997,Median,"49,950",
E09000003,Barnet,Year ending Mar 1997,Median,"89,500",
E09000004,Bexley,Year ending Mar 1997,Median,"67,000",
E09000005,Brent,Year ending Mar 1997,Median,"75,000",
E09000006,Bromley,Year ending Mar 1997,Median,"81,000",
E09000007,Camden,Year ending Mar 1997,Median,"132,950",
E09000008,Croydon,Year ending Mar 1997,Median,"65,850",
E09000009,Ealing,Year ending Mar 1997,Median,"81,500",
E09000010,Enfield,Year ending Mar 1997,Median,"72,000",
E09000011,Greenwich,Year ending Mar 1997,Median,"64,000",
E09000012,Hackney,Year ending Mar 1997,Median,"67,000",
E09000013,Hammersmith and Fulham,Year ending Mar 1997,Median,"123,000",
E09000014,Haringey,Year ending Mar 1997,Median,"73,000",
E09000015,Harrow,Year ending Mar 1997,Median,"83,950",
E09000016,Havering,Year ending Mar 1997,Median,"69,000",
E09000017,Hillingdon,Year ending Mar 1997,Median,"74,000",
E09000018,Hounslow,Year ending Mar 1997,Median,"73,500",
E09000019,Islington,Year ending Mar 1997,Median,"104,000",
E09000020,Kensington and Chelsea,Year ending Mar 1997,Median,"200,000",
E09000021,Kingston upon Thames,Year ending Mar 1997,Median,"88,248",
E09000022,Lambeth,Year ending Mar 1997,Median,"76,000",
E09000023,Lewisham,Year ending Mar 1997,Median,"59,000",
E09000024,Merton,Year ending Mar 1997,Median,"80,000",
E09000025,Newham,Year ending Mar 1997,Median,"51,000",
E09000026,Redbridge,Year ending Mar 1997,Median,"72,000",
E09000027,Richmond upon Thames,Year ending Mar 1997,Median,"120,000",
E09000028,Southwark,Year ending Mar 1997,Median,"75,000",
E09000029,Sutton,Year ending Mar 1997,Median,"70,000",
E09000030,Tower Hamlets,Year ending Mar 1997,Median,"82,500",
E09000031,Waltham Forest,Year ending Mar 1997,Median,"57,000",
E09000032,Wandsworth,Year ending Mar 1997,Median,"95,000",
E09000033,Westminster,Year ending Mar 1997,Median,"138,000",
E12000001,North East,Year ending Mar 1997,Median,"45,000",
E12000002,North West,Year ending Mar 1997,Median,"47,000",
E12000003,Yorkshire And The Humber,Year ending Mar 1997,Median,"47,000",
E12000004,East Midlands,Year ending Mar 1997,Median,"48,000",
E12000005,West Midlands,Year ending Mar 1997,Median,"52,000",
E12000006,East of England,Year ending Mar 1997,Median,"59,500",
E12000007,London,Year ending Mar 1997,Median,"79,000",
E12000008,South East,Year ending Mar 1997,Median,"69,500",
E12000009,South West,Year ending Mar 1997,Median,"58,000",
E92000001,England,Year ending Mar 1997,Median,"58,000",
W92000004,Wales,Year ending Mar 1997,Median,"45,500",
K04000001,England And Wales,Year ending Mar 1997,Median,"57,750",
E09000001,City of London,Year ending Jun 1997,Median,"130,000",
E09000002,Barking and Dagenham,Year ending Jun 1997,Median,"50,000",
E09000003,Barnet,Year ending Jun 1997,Median,"91,950",
E09000004,Bexley,Year ending Jun 1997,Median,"68,500",
E09000005,Brent,Year ending Jun 1997,Median,"76,000",
E09000006,Bromley,Year ending Jun 1997,Median,"82,500",
E09000007,Camden,Year ending Jun 1997,Median,"135,000",
E09000008,Croydon,Year ending Jun 1997,Median,"67,000",
E09000009,Ealing,Year ending Jun 1997,Median,"83,500",
E09000010,Enfield,Year ending Jun 1997,Median,"74,000",
E09000011,Greenwich,Year ending Jun 1997,Median,"64,000",
E09000012,Hackney,Year ending Jun 1997,Median,"70,000",
E09000013,Hammersmith and Fulham,Year ending Jun 1997,Median,"125,000",
E09000014,Haringey,Year ending Jun 1997,Median,"75,000",
E09000015,Harrow,Year ending Jun 1997,Median,"86,000",
E09000016,Havering,Year ending Jun 1997,Median,"70,000",
E09000017,Hillingdon,Year ending Jun 1997,Median,"75,000",
E09000018,Hounslow,Year ending Jun 1997,Median,"75,000",
E09000019,Islington,Year ending Jun 1997,Median,"110,000",
E09000020,Kensington and Chelsea,Year ending Jun 1997,Median,"210,000",
E09000021,Kingston upon Thames,Year ending Jun 1997,Median,"88,500",
E09000022,Lambeth,Year ending Jun 1997,Median,"79,500",
E09000023,Lewisham,Year ending Jun 1997,Median,"59,995",
E09000024,Merton,Year ending Jun 1997,Median,"82,000",
E09000025,Newham,Year ending Jun 1997,Median,"52,500",
E09000026,Redbridge,Year ending Jun 1997,Median,"73,590",
E09000027,Richmond upon Thames,Year ending Jun 1997,Median,"123,000",
E09000028,Southwark,Year ending Jun 1997,Median,"78,000",
E09000029,Sutton,Year ending Jun 1997,Median,"71,500",
E09000030,Tower Hamlets,Year ending Jun 1997,Median,"86,500",
E09000031,Waltham Forest,Year ending Jun 1997,Median,"58,500",
E09000032,Wandsworth,Year ending Jun 1997,Median,"99,000",
E09000033,Westminster,Year ending Jun 1997,Median,"147,000",
E12000001,North East,Year ending Jun 1997,Median,"45,950",
E12000002,North West,Year ending Jun 1997,Median,"47,995",
E12000003,Yorkshire And The Humber,Year ending Jun 1997,Median,"47,950",
E12000004,East Midlands,Year ending Jun 1997,Median,"49,000",
E12000005,West Midlands,Year ending Jun 1997,Median,"53,000",
E12000006,East of England,Year ending Jun 1997,Median,"60,000",
E12000007,London,Year ending Jun 1997,Median,"80,950",
E12000008,South East,Year ending Jun 1997,Median,"70,950",
E12000009,South West,Year ending Jun 1997,Median,"59,000",
E92000001,England,Year ending Jun 1997,Median,"59,500",
W92000004,Wales,Year ending Jun 1997,Median,"46,500",
K04000001,England And Wales,Year ending Jun 1997,Median,"58,999",
E09000001,City of London,Year ending Sep 1997,Median,"130,000",
E09000002,Barking and Dagenham,Year ending Sep 1997,Median,"52,000",
E09000003,Barnet,Year ending Sep 1997,Median,"95,000",
E09000004,Bexley,Year ending Sep 1997,Median,"70,000",
E09000005,Brent,Year ending Sep 1997,Median,"80,000",
E09000006,Bromley,Year ending Sep 1997,Median,"84,500",
E09000007,Camden,Year ending Sep 1997,Median,"140,000",
E09000008,Croydon,Year ending Sep 1997,Median,"69,000",
E09000009,Ealing,Year ending Sep 1997,Median,"87,000",
E09000010,Enfield,Year ending Sep 1997,Median,"76,000",
E09000011,Greenwich,Year ending Sep 1997,Median,"64,995",
E09000012,Hackney,Year ending Sep 1997,Median,"72,998",
E09000013,Hammersmith and Fulham,Year ending Sep 1997,Median,"132,000",
E09000014,Haringey,Year ending Sep 1997,Median,"78,000",
E09000015,Harrow,Year ending Sep 1997,Median,"90,000",
E09000016,Havering,Year ending Sep 1997,Median,"72,500",
E09000017,Hillingdon,Year ending Sep 1997,Median,"77,500",
E09000018,Hounslow,Year ending Sep 1997,Median,"77,500",
E09000019,Islington,Year ending Sep 1997,Median,"115,000",
E09000020,Kensington and Chelsea,Year ending Sep 1997,Median,"218,000",
E09000021,Kingston upon Thames,Year ending Sep 1997,Median,"90,000",
E09000022,Lambeth,Year ending Sep 1997,Median,"83,000",
E09000023,Lewisham,Year ending Sep 1997,Median,"62,000",
E09000024,Merton,Year ending Sep 1997,Median,"83,500",
E09000025,Newham,Year ending Sep 1997,Median,"54,995",
E09000026,Redbridge,Year ending Sep 1997,Median,"75,000",
E09000027,Richmond upon Thames,Year ending Sep 1997,Median,"129,950",
E09000028,Southwark,Year ending Sep 1997,Median,"80,500",
E09000029,Sutton,Year ending Sep 1997,Median,"73,000",
E09000030,Tower Hamlets,Year ending Sep 1997,Median,"89,995",
E09000031,Waltham Forest,Year ending Sep 1997,Median,"60,000",
E09000032,Wandsworth,Year ending Sep 1997,Median,"104,150",
E09000033,Westminster,Year ending Sep 1997,Median,"157,000",
E12000001,North East,Year ending Sep 1997,Median,"46,500",
E12000002,North West,Year ending Sep 1997,Median,"48,500",
E12000003,Yorkshire And The Humber,Year ending Sep 1997,Median,"48,500",
E12000004,East Midlands,Year ending Sep 1997,Median,"49,950",
E12000005,West Midlands,Year ending Sep 1997,Median,"54,000",
E12000006,East of England,Year ending Sep 1997,Median,"61,995",
E12000007,London,Year ending Sep 1997,Median,"83,500",
E12000008,South East,Year ending Sep 1997,Median,"72,500",
E12000009,South West,Year ending Sep 1997,Median,"59,950",
E92000001,England,Year ending Sep 1997,Median,"59,995",
W92000004,Wales,Year ending Sep 1997,Median,"47,000",
K04000001,England And Wales,Year ending Sep 1997,Median,"59,950",
E09000001,City of London,Year ending Dec 1997,Median,"135,000",
E09000002,Barking and Dagenham,Year ending Dec 1997,Median,"53,500",
E09000003,Barnet,Year ending Dec 1997,Median,"100,000",
E09000004,Bexley,Year ending Dec 1997,Median,"71,000",
E09000005,Brent,Year ending Dec 1997,Median,"83,500",
E09000006,Bromley,Year ending Dec 1997,Median,"86,000",
E09000007,Camden,Year ending Dec 1997,Median,"145,000",
E09000008,Croydon,Year ending Dec 1997,Median,"71,000",
E09000009,Ealing,Year ending Dec 1997,Median,"90,000",
E09000010,Enfield,Year ending Dec 1997,Median,"78,000",
E09000011,Greenwich,Year ending Dec 1997,Median,"66,000",
E09000012,Hackney,Year ending Dec 1997,Median,"76,998",
E09000013,Hammersmith and Fulham,Year ending Dec 1997,Median,"136,000",
E09000014,Haringey,Year ending Dec 1997,Median,"81,000",
E09000015,Harrow,Year ending Dec 1997,Median,"94,159",
E09000016,Havering,Year ending Dec 1997,Median,"74,000",
E09000017,Hillingdon,Year ending Dec 1997,Median,"79,925",
E09000018,Hounslow,Year ending Dec 1997,Median,"80,000",
E09000019,Islington,Year ending Dec 1997,Median,"118,875",
E09000020,Kensington and Chelsea,Year ending Dec 1997,Median,"225,000",
E09000021,Kingston upon Thames,Year ending Dec 1997,Median,"94,950",
E09000022,Lambeth,Year ending Dec 1997,Median,"85,000",
E09000023,Lewisham,Year ending Dec 1997,Median,"64,000",
E09000024,Merton,Year ending Dec 1997,Median,"84,950",
E09000025,Newham,Year ending Dec 1997,Median,"56,000",
E09000026,Redbridge,Year ending Dec 1997,Median,"76,375",
E09000027,Richmond upon Thames,Year ending Dec 1997,Median,"136,000",
E09000028,Southwark,Year ending Dec 1997,Median,"85,000",
E09000029,Sutton,Year ending Dec 1997,Median,"75,000",
E09000030,Tower Hamlets,Year ending Dec 1997,Median,"95,000",
E09000031,Waltham Forest,Year ending Dec 1997,Median,"62,000",
E09000032,Wandsworth,Year ending Dec 1997,Median,"108,000",
E09000033,Westminster,Year ending Dec 1997,Median,"160,950",
E12000001,North East,Year ending Dec 1997,Median,"46,995",
E12000002,North West,Year ending Dec 1997,Median,"49,000",
E12000003,Yorkshire And The Humber,Year ending Dec 1997,Median,"48,950",
E12000004,East Midlands,Year ending Dec 1997,Median,"50,000",
E12000005,West Midlands,Year ending Dec 1997,Median,"54,500",
E12000006,East of England,Year ending Dec 1997,Median,"63,500",
E12000007,London,Year ending Dec 1997,Median,"86,000",
E12000008,South East,Year ending Dec 1997,Median,"74,500",
E12000009,South West,Year ending Dec 1997,Median,"60,000",
E92000001,England,Year ending Dec 1997,Median,"60,000",
W92000004,Wales,Year ending Dec 1997,Median,"47,950",
K04000001,England And Wales,Year ending Dec 1997,Median,"60,000",
E09000001,City of London,Year ending Mar 1998,Median,"147,000",
E09000002,Barking and Dagenham,Year ending Mar 1998,Median,"54,995",
E09000003,Barnet,Year ending Mar 1998,Median,"104,500",
E09000004,Bexley,Year ending Mar 1998,Median,"73,000",
E09000005,Brent,Year ending Mar 1998,Median,"85,950",
E09000006,Bromley,Year ending Mar 1998,Median,"89,000",
E09000007,Camden,Year ending Mar 1998,Median,"147,500",
E09000008,Croydon,Year ending Mar 1998,Median,"73,500",
E09000009,Ealing,Year ending Mar 1998,Median,"94,000",
E09000010,Enfield,Year ending Mar 1998,Median,"80,000",
E09000011,Greenwich,Year ending Mar 1998,Median,"68,000",
E09000012,Hackney,Year ending Mar 1998,Median,"79,950",
E09000013,Hammersmith and Fulham,Year ending Mar 1998,Median,"144,800",
E09000014,Haringey,Year ending Mar 1998,Median,"84,000",
E09000015,Harrow,Year ending Mar 1998,Median,"97,175",
E09000016,Havering,Year ending Mar 1998,Median,"75,500",
E09000017,Hillingdon,Year ending Mar 1998,Median,"81,000",
E09000018,Hounslow,Year ending Mar 1998,Median,"84,000",
E09000019,Islington,Year ending Mar 1998,Median,"123,500",
E09000020,Kensington and Chelsea,Year ending Mar 1998,Median,"230,000",
E09000021,Kingston upon Thames,Year ending Mar 1998,Median,"95,498",
E09000022,Lambeth,Year ending Mar 1998,Median,"87,500",
E09000023,Lewisham,Year ending Mar 1998,Median,"65,950",
E09000024,Merton,Year ending Mar 1998,Median,"87,975",
E09000025,Newham,Year ending Mar 1998,Median,"58,000",
E09000026,Redbridge,Year ending Mar 1998,Median,"79,000",
E09000027,Richmond upon Thames,Year ending Mar 1998,Median,"142,000",
E09000028,Southwark,Year ending Mar 1998,Median,"87,000",
E09000029,Sutton,Year ending Mar 1998,Median,"77,950",
E09000030,Tower Hamlets,Year ending Mar 1998,Median,"97,000",
E09000031,Waltham Forest,Year ending Mar 1998,Median,"65,000",
E09000032,Wandsworth,Year ending Mar 1998,Median,"112,000",
E09000033,Westminster,Year ending Mar 1998,Median,"166,000",
E12000001,North East,Year ending Mar 1998,Median,"47,000",
E12000002,North West,Year ending Mar 1998,Median,"49,250",
E12000003,Yorkshire And The Humber,Year ending Mar 1998,Median,"49,000",
E12000004,East Midlands,Year ending Mar 1998,Median,"51,000",
E12000005,West Midlands,Year ending Mar 1998,Median,"55,000",
E12000006,East of England,Year ending Mar 1998,Median,"64,950",
E12000007,London,Year ending Mar 1998,Median,"88,000",
E12000008,South East,Year ending Mar 1998,Median,"76,000",
E12000009,South West,Year ending Mar 1998,Median,"62,000",
E92000001,England,Year ending Mar 1998,Median,"62,500",
W92000004,Wales,Year ending Mar 1998,Median,"48,000",
K04000001,England And Wales,Year ending Mar 1998,Median,"60,000",
E09000001,City of London,Year ending Jun 1998,Median,"155,000",
E09000002,Barking and Dagenham,Year ending Jun 1998,Median,"56,500",
E09000003,Barnet,Year ending Jun 1998,Median,"110,000",
E09000004,Bexley,Year ending Jun 1998,Median,"75,000",
E09000005,Brent,Year ending Jun 1998,Median,"89,950",
E09000006,Bromley,Year ending Jun 1998,Median,"92,000",
E09000007,Camden,Year ending Jun 1998,Median,"150,000",
E09000008,Croydon,Year ending Jun 1998,Median,"75,000",
E09000009,Ealing,Year ending Jun 1998,Median,"97,950",
E09000010,Enfield,Year ending Jun 1998,Median,"81,500",
E09000011,Greenwich,Year ending Jun 1998,Median,"70,000",
E09000012,Hackney,Year ending Jun 1998,Median,"82,000",
E09000013,Hammersmith and Fulham,Year ending Jun 1998,Median,"151,000",
E09000014,Haringey,Year ending Jun 1998,Median,"87,000",
E09000015,Harrow,Year ending Jun 1998,Median,"101,000",
E09000016,Havering,Year ending Jun 1998,Median,"78,000",
E09000017,Hillingdon,Year ending Jun 1998,Median,"84,500",
E09000018,Hounslow,Year ending Jun 1998,Median,"87,995",
E09000019,Islington,Year ending Jun 1998,Median,"129,975",
E09000020,Kensington and Chelsea,Year ending Jun 1998,Median,"239,700",
E09000021,Kingston upon Thames,Year ending Jun 1998,Median,"101,000",
E09000022,Lambeth,Year ending Jun 1998,Median,"92,000",
E09000023,Lewisham,Year ending Jun 1998,Median,"68,000",
E09000024,Merton,Year ending Jun 1998,Median,"91,000",
E09000025,Newham,Year ending Jun 1998,Median,"59,995",
E09000026,Redbridge,Year ending Jun 1998,Median,"81,000",
E09000027,Richmond upon Thames,Year ending Jun 1998,Median,"147,500",
E09000028,Southwark,Year ending Jun 1998,Median,"90,000",
E09000029,Sutton,Year ending Jun 1998,Median,"80,000",
E09000030,Tower Hamlets,Year ending Jun 1998,Median,"102,500",
E09000031,Waltham Forest,Year ending Jun 1998,Median,"67,000",
E09000032,Wandsworth,Year ending Jun 1998,Median,"117,000",
E09000033,Westminster,Year ending Jun 1998,Median,"172,000",
E12000001,North East,Year ending Jun 1998,Median,"47,500",
E12000002,North West,Year ending Jun 1998,Median,"49,950",
E12000003,Yorkshire And The Humber,Year ending Jun 1998,Median,"49,393",
E12000004,East Midlands,Year ending Jun 1998,Median,"52,000",
E12000005,West Midlands,Year ending Jun 1998,Median,"55,001",
E12000006,East of England,Year ending Jun 1998,Median,"66,000",
E12000007,London,Year ending Jun 1998,Median,"91,000",
E12000008,South East,Year ending Jun 1998,Median,"78,500",
E12000009,South West,Year ending Jun 1998,Median,"64,000",
E92000001,England,Year ending Jun 1998,Median,"64,000",
W92000004,Wales,Year ending Jun 1998,Median,"48,500",
K04000001,England And Wales,Year ending Jun 1998,Median,"63,000",
E09000001,City of London,Year ending Sep 1998,Median,"160,000",
E09000002,Barking and Dagenham,Year ending Sep 1998,Median,"58,000",
E09000003,Barnet,Year ending Sep 1998,Median,"113,748",
E09000004,Bexley,Year ending Sep 1998,Median,"77,000",
E09000005,Brent,Year ending Sep 1998,Median,"93,000",
E09000006,Bromley,Year ending Sep 1998,Median,"96,000",
E09000007,Camden,Year ending Sep 1998,Median,"158,000",
E09000008,Croydon,Year ending Sep 1998,Median,"77,000",
E09000009,Ealing,Year ending Sep 1998,Median,"100,000",
E09000010,Enfield,Year ending Sep 1998,Median,"83,000",
E09000011,Greenwich,Year ending Sep 1998,Median,"73,500",
E09000012,Hackney,Year ending Sep 1998,Median,"84,950",
E09000013,Hammersmith and Fulham,Year ending Sep 1998,Median,"156,000",
E09000014,Haringey,Year ending Sep 1998,Median,"90,000",
E09000015,Harrow,Year ending Sep 1998,Median,"105,000",
E09000016,Havering,Year ending Sep 1998,Median,"80,000",
E09000017,Hillingdon,Year ending Sep 1998,Median,"86,500",
E09000018,Hounslow,Year ending Sep 1998,Median,"91,000",
E09000019,Islington,Year ending Sep 1998,Median,"138,000",
E09000020,Kensington and Chelsea,Year ending Sep 1998,Median,"240,000",
E09000021,Kingston upon Thames,Year ending Sep 1998,Median,"107,950",
E09000022,Lambeth,Year ending Sep 1998,Median,"96,500",
E09000023,Lewisham,Year ending Sep 1998,Median,"70,000",
E09000024,Merton,Year ending Sep 1998,Median,"94,625",
E09000025,Newham,Year ending Sep 1998,Median,"61,000",
E09000026,Redbridge,Year ending Sep 1998,Median,"84,000",
E09000027,Richmond upon Thames,Year ending Sep 1998,Median,"152,500",
E09000028,Southwark,Year ending Sep 1998,Median,"95,000",
E09000029,Sutton,Year ending Sep 1998,Median,"83,750",
E09000030,Tower Hamlets,Year ending Sep 1998,Median,"108,948",
E09000031,Waltham Forest,Year ending Sep 1998,Median,"69,000",
E09000032,Wandsworth,Year ending Sep 1998,Median,"120,000",
E09000033,Westminster,Year ending Sep 1998,Median,"173,000",
E12000001,North East,Year ending Sep 1998,Median,"47,500",
E12000002,North West,Year ending Sep 1998,Median,"50,000",
E12000003,Yorkshire And The Humber,Year ending Sep 1998,Median,"49,950",
E12000004,East Midlands,Year ending Sep 1998,Median,"53,000",
E12000005,West Midlands,Year ending Sep 1998,Median,"56,000",
